TFSI,NCN,Ni,Fe,Predictor,Gas
313.38,769.23,518.67,4.33354430379747,No gas,0
313.38,769.23,518.94,4.33291139240506,No gas,0
313.38,769.23,518.4,4.33253164556962,No gas,0
313.48,770.42,518.67,4.33215189873418,No gas,0
313.38,771.01,518.94,4.33227848101266,No gas,0
313.58,770.42,518.67,4.33240506329114,No gas,0
313.48,770.42,518.4,4.33227848101266,No gas,0
313.38,771.01,518.94,4.33177215189873,No gas,0
313.68,770.42,518.67,4.33164556962025,No gas,0
313.28,769.82,518.94,4.33202531645569,No gas,0
313.68,771.01,518.67,4.33240506329114,No gas,0
313.58,770.42,518.94,4.33392405063291,No gas,0
313.48,770.42,518.94,4.33544303797468,No gas,0
313.28,770.42,518.67,4.33556962025316,No gas,0
313.48,769.82,518.67,4.33556962025316,No gas,0
313.77,769.82,517.87,4.3353164556962,No gas,0
314.07,770.42,518.94,4.33506329113924,No gas,0
313.77,769.23,518.67,4.33481012658228,No gas,0
313.68,770.42,518.94,4.33316455696202,No gas,0
313.19,770.42,518.94,4.33151898734177,No gas,0
313.28,770.42,518.4,4.33202531645569,No gas,0
313.58,770.42,519.21,4.33253164556962,No gas,0
314.47,775.19,520.29,4.33430379746835,No gas,0
313.58,770.42,518.4,4.33544303797468,No gas,0
313.09,771.01,518.67,4.33468354430379,No gas,0
312.89,770.42,519.21,4.33443037974683,No gas,0
313.58,769.82,518.67,4.33417721518987,No gas,0
313.19,771.01,517.6,4.33417721518987,No gas,0
313.28,770.42,518.67,4.33417721518987,No gas,0
313.28,769.82,518.67,4.33405063291139,No gas,0
312.89,769.82,518.67,4.33379746835443,No gas,0
313.68,769.82,518.67,4.33367088607595,No gas,0
312.89,769.82,518.13,4.33367088607595,No gas,0
313.38,770.42,517.87,4.33367088607595,No gas,0
312.11,769.23,519.21,4.33379746835443,No gas,0
312.4,771.01,518.13,4.33392405063291,No gas,0
312.99,769.82,518.94,4.33417721518987,No gas,0
314.07,773.99,518.67,4.33354430379747,No gas,0
313.38,770.42,518.67,4.33316455696202,No gas,0
313.58,771.6,518.94,4.33367088607595,No gas,0
313.38,770.42,518.4,4.33417721518987,No gas,0
312.6,769.82,518.4,4.33506329113924,No gas,0
312.89,769.82,518.94,4.33594936708861,No gas,0
313.48,770.42,518.94,4.33582278481012,No gas,0
313.58,768.64,518.4,4.33569620253164,No gas,0
313.68,769.82,518.4,4.33544303797468,No gas,0
312.11,769.82,517.33,4.33518987341772,No gas,0
312.7,771.6,517.6,4.33493670886076,No gas,0
313.48,769.82,518.67,4.33392405063291,No gas,0
313.58,769.82,518.94,4.33291139240506,No gas,0
313.68,770.42,518.67,4.33278481012658,No gas,0
313.09,770.42,519.21,4.3326582278481,No gas,0
313.77,769.82,518.67,4.3326582278481,No gas,0
313.48,769.82,518.4,4.33253164556962,No gas,0
313.58,770.42,518.67,4.3320253164557,No gas,0
313.58,770.42,518.94,4.33189873417721,No gas,0
312.79,770.42,519.21,4.33177215189873,No gas,0
313.28,772.2,520.02,4.33164556962025,No gas,0
311.62,768.64,518.94,4.33151898734177,No gas,0
313.77,769.82,518.67,4.33278481012658,No gas,0
313.38,769.82,518.67,4.33341772151899,No gas,0
313.38,769.82,518.67,4.33227848101266,No gas,0
313.48,770.42,518.67,4.33189873417721,No gas,0
313.28,769.82,518.94,4.33151898734177,No gas,0
312.99,769.82,518.67,4.33164556962025,No gas,0
313.58,771.6,518.94,4.33177215189873,No gas,0
313.09,769.82,518.67,4.33189873417721,No gas,0
313.48,771.01,518.94,4.33151898734177,No gas,0
314.27,770.42,517.6,4.33151898734177,No gas,0
313.58,770.42,518.67,4.33177215189873,No gas,0
312.11,769.82,518.67,4.3320253164557,No gas,0
313.97,771.6,519.48,4.33303797468355,No gas,0
313.19,770.42,518.67,4.33405063291139,No gas,0
312.6,771.6,518.67,4.33367088607595,No gas,0
313.77,770.42,518.13,4.33329113924051,No gas,0
313.48,770.42,518.67,4.33316455696203,No gas,0
313.09,769.82,518.94,4.3326582278481,No gas,0
312.79,770.42,519.48,4.33215189873418,No gas,0
313.68,770.42,518.67,4.33126582278481,No gas,0
313.28,770.42,518.67,4.33037974683544,No gas,0
313.68,770.42,518.67,4.3306329113924,No gas,0
313.38,770.42,518.94,4.33088607594937,No gas,0
313.38,769.82,518.4,4.33113924050633,No gas,0
313.19,769.23,518.94,4.33088607594937,No gas,0
313.28,770.42,518.94,4.3306329113924,No gas,0
312.99,770.42,518.94,4.33050632911392,No gas,0
313.48,770.42,518.67,4.33037974683544,No gas,0
313.28,770.42,518.67,4.33,No gas,0
313.68,771.01,518.4,4.32962025316456,No gas,0
313.58,771.01,518.67,4.3293670886076,No gas,0
313.48,769.82,519.21,4.32810126582279,No gas,0
313.48,770.42,518.67,4.32658227848101,No gas,0
313.48,769.82,518.94,4.32645569620253,No gas,0
313.28,770.42,519.21,4.32632911392405,No gas,0
313.68,769.23,518.94,4.32670886075949,No gas,0
313.58,769.23,518.94,4.32708860759494,No gas,0
313.58,770.42,518.67,4.32835443037975,No gas,0
313.19,770.42,518.67,4.32949367088608,No gas,0
313.58,771.01,518.94,4.32924050632912,No gas,0
313.58,770.42,518.94,4.32860759493671,No gas,0
313.19,770.42,518.94,4.3279746835443,No gas,0
313.68,770.42,518.67,4.32632911392405,No gas,0
314.07,771.6,518.94,4.3246835443038,No gas,0
312.99,771.01,518.94,4.32544303797468,No gas,0
313.38,770.42,518.4,4.32620253164557,No gas,0
313.38,769.82,518.94,4.32683544303797,No gas,0
313.28,770.42,518.67,4.32708860759494,No gas,0
313.68,769.23,518.13,4.3273417721519,No gas,0
312.79,769.82,518.67,4.32835443037975,No gas,0
313.28,768.64,518.94,4.32936708860759,No gas,0
313.38,770.42,518.67,4.32911392405063,No gas,0
313.38,770.42,518.67,4.32886075949367,No gas,0
313.48,769.82,518.94,4.32873417721519,No gas,0
313.58,769.82,518.67,4.32860759493671,No gas,0
313.19,770.42,518.67,4.32848101265823,No gas,0
313.28,771.6,518.4,4.32835443037975,No gas,0
313.28,771.01,519.21,4.32822784810127,No gas,0
313.28,770.42,518.67,4.32784810126582,No gas,0
313.58,770.42,518.67,4.32746835443038,No gas,0
312.6,771.01,519.21,4.32860759493671,No gas,0
312.99,770.42,518.94,4.32924050632911,No gas,0
313.38,771.01,518.67,4.3279746835443,No gas,0
313.77,769.82,518.4,4.32772151898734,No gas,0
313.58,770.42,518.4,4.32746835443038,No gas,0
313.77,769.82,518.67,4.32784810126582,No gas,0
313.58,769.82,518.67,4.32822784810127,No gas,0
313.48,770.42,518.67,4.32848101265823,No gas,0
313.58,770.42,518.67,4.32848101265823,No gas,0
313.48,771.01,518.67,4.32848101265823,No gas,0
313.38,771.01,518.94,4.32835443037975,No gas,0
313.48,770.42,518.67,4.32822784810127,No gas,0
313.28,769.23,519.21,4.32784810126582,No gas,0
313.58,770.42,519.21,4.32746835443038,No gas,0
313.28,770.42,518.94,4.32784810126582,No gas,0
313.48,771.01,518.67,4.32822784810126,No gas,0
313.87,771.01,519.21,4.32835443037974,No gas,0
313.38,769.82,518.67,4.32848101265823,No gas,0
313.48,771.01,518.94,4.32860759493671,No gas,0
313.58,769.82,518.94,4.32822784810126,No gas,0
313.68,770.42,518.67,4.32784810126582,No gas,0
313.48,769.82,518.94,4.32810126582278,No gas,0
313.28,769.82,518.4,4.32835443037975,No gas,0
313.48,770.42,518.67,4.32860759493671,No gas,0
313.68,772.8,519.48,4.32835443037975,No gas,0
313.38,769.82,518.94,4.32810126582279,No gas,0
313.38,770.42,518.67,4.32835443037975,No gas,0
313.48,770.42,518.67,4.32860759493671,No gas,0
313.38,770.42,518.94,4.3279746835443,No gas,0
313.19,769.82,518.94,4.3273417721519,No gas,0
313.48,770.42,518.67,4.32670886075949,No gas,0
