TFSI,NCN,Ni,Fe,Predictor,Gas
314.17,766.87,518.13,6.47632911392405,No gas,0
314.37,767.46,518.13,6.47645569620253,No gas,0
313.87,767.46,518.4,6.47658227848101,No gas,0
314.86,769.82,518.94,6.47683544303797,No gas,0
314.07,766.28,518.4,6.47708860759494,No gas,0
314.07,766.87,518.4,6.47607594936709,No gas,0
313.97,766.87,518.4,6.47620253164557,No gas,0
314.37,767.46,518.4,6.47632911392405,No gas,0
314.17,766.87,518.4,6.47607594936709,No gas,0
314.47,768.05,518.4,6.47556962025316,No gas,0
314.07,766.87,518.4,6.47493670886076,No gas,0
314.37,768.05,518.4,6.47253164556962,No gas,0
314.07,766.87,518.4,6.47050632911392,No gas,0
314.07,768.05,518.13,6.47012658227848,No gas,0
313.48,766.28,518.13,6.46860759493671,No gas,0
315.36,769.82,518.94,6.46607594936709,No gas,0
313.97,767.46,518.13,6.46582278481013,No gas,0
314.56,768.05,518.4,6.46582278481013,No gas,0
313.97,766.28,518.13,6.46582278481013,No gas,0
314.37,768.64,518.4,6.46632911392405,No gas,0
313.87,767.46,518.67,6.46784810126582,No gas,0
314.17,767.46,518.4,6.4693670886076,No gas,0
313.97,766.28,518.4,6.46873417721519,No gas,0
314.17,767.46,518.4,6.46873417721519,No gas,0
314.07,766.87,518.4,6.46873417721519,No gas,0
314.17,767.46,518.4,6.46784810126582,No gas,0
313.87,768.05,517.87,6.46873417721519,No gas,0
314.47,766.28,518.67,6.46962025316456,No gas,0
313.87,766.87,518.4,6.46898734177215,No gas,0
314.17,767.46,518.13,6.46835443037975,No gas,0
314.17,767.46,518.67,6.46797468354431,No gas,0
314.47,766.87,518.4,6.46822784810127,No gas,0
314.17,766.87,518.67,6.46797468354431,No gas,0
314.27,767.46,518.13,6.46810126582279,No gas,0
313.77,766.28,518.4,6.46822784810127,No gas,0
313.97,767.46,518.13,6.46835443037975,No gas,0
314.07,766.87,518.4,6.46898734177215,No gas,0
314.47,767.46,518.13,6.46949367088608,No gas,0
314.37,766.87,518.67,6.47,No gas,0
314.07,767.46,519.21,6.46962025316456,No gas,0
313.97,766.87,518.4,6.46974683544304,No gas,0
314.17,768.05,518.4,6.46987341772152,No gas,0
314.17,766.28,524.11,6.46898734177215,No gas,0
314.07,767.46,518.13,6.46873417721519,No gas,0
313.97,766.87,518.67,6.46848101265823,No gas,0
313.97,767.46,518.4,6.46835443037975,No gas,0
313.97,766.28,517.87,6.46822784810127,No gas,0
314.37,769.23,518.4,6.46772151898734,No gas,0
313.87,766.28,518.13,6.4679746835443,No gas,0
314.07,767.46,518.67,6.46607594936709,No gas,0
313.97,766.28,518.4,6.46569620253165,No gas,0
314.07,767.46,518.13,6.46544303797468,No gas,0
313.48,767.46,519.21,6.46518987341772,No gas,0
314.17,768.05,518.67,6.46683544303797,No gas,0
313.87,766.87,518.4,6.46886075949367,No gas,0
313.77,767.46,518.94,6.47088607594937,No gas,0
313.87,766.28,518.67,6.46962025316456,No gas,0
314.37,767.46,518.4,6.46886075949367,No gas,0
314.07,766.87,518.67,6.46810126582279,No gas,0
314.47,767.46,518.4,6.46772151898734,No gas,0
